dataset,area,sex,ICCC,graph,year,age_group,measure,value_text
CYPC,British Columbia,1,14,L,2023,C,1,<5
CYPC,British Columbia,1,14,L,2023,C,2,<5
CYPC,British Columbia,1,14,L,2023,C,3,
CYPC,British Columbia,1,14,L,2023,C,4,
CYPC,British Columbia,1,14,L,2023,D,1,<5
CYPC,British Columbia,1,14,L,2023,D,2,<5
CYPC,British Columbia,1,14,L,2023,D,3,
CYPC,British Columbia,1,14,L,2023,D,4,
CYPC,British Columbia,1,14,L,2023,E,1,<5
CYPC,British Columbia,1,14,L,2023,E,2,<5
CYPC,British Columbia,1,14,L,2023,E,3,
CYPC,British Columbia,1,14,L,2023,E,4,
CYPC,British Columbia,1,14,L,2023,S,1,<5
CYPC,British Columbia,1,14,L,2023,S,2,<5
CYPC,British Columbia,1,14,L,2023,S,5,
CYPC,British Columbia,1,14,L,2023,S,6,
CYPC,British Columbia,1,15,L,2023,B,1,<5
CYPC,British Columbia,1,15,L,2023,B,2,<5
CYPC,British Columbia,1,15,L,2023,B,3,
CYPC,British Columbia,1,15,L,2023,B,4,
CYPC,British Columbia,1,15,L,2023,C,1,<5
CYPC,British Columbia,1,15,L,2023,C,2,<5
CYPC,British Columbia,1,15,L,2023,C,3,
CYPC,British Columbia,1,15,L,2023,C,4,
CYPC,British Columbia,1,15,L,2023,D,1,<5
CYPC,British Columbia,1,15,L,2023,D,2,<5
CYPC,British Columbia,1,15,L,2023,D,3,
CYPC,British Columbia,1,15,L,2023,D,4,
CYPC,British Columbia,1,15,L,2023,E,1,<5
CYPC,British Columbia,1,15,L,2023,E,2,<5
CYPC,British Columbia,1,15,L,2023,E,3,
CYPC,British Columbia,1,15,L,2023,E,4,
CYPC,British Columbia,1,15,L,2023,S,1,<5
CYPC,British Columbia,1,15,L,2023,S,2,<5
CYPC,British Columbia,1,15,L,2023,S,5,
CYPC,British Columbia,1,15,L,2023,S,6,
CYPC,British Columbia,1,20,L,2023,B,1,<5
CYPC,British Columbia,1,20,L,2023,B,2,<5
CYPC,British Columbia,1,20,L,2023,B,3,
CYPC,British Columbia,1,20,L,2023,B,4,
CYPC,British Columbia,1,20,L,2023,C,1,<5
CYPC,British Columbia,1,20,L,2023,C,2,<5
CYPC,British Columbia,1,20,L,2023,C,3,
CYPC,British Columbia,1,20,L,2023,C,4,
CYPC,British Columbia,1,20,L,2023,D,1,5
CYPC,British Columbia,1,20,L,2023,D,2,10
CYPC,British Columbia,1,20,L,2023,D,3,37.68
CYPC,British Columbia,1,20,L,2023,D,4,15.52
CYPC,British Columbia,1,20,L,2023,E,1,5
CYPC,British Columbia,1,20,L,2023,E,2,20
CYPC,British Columbia,1,20,L,2023,E,3,36.04
CYPC,British Columbia,1,20,L,2023,E,4,29.87
CYPC,British Columbia,1,20,L,2023,S,1,10
CYPC,British Columbia,1,20,L,2023,S,2,40
CYPC,British Columbia,1,20,L,2023,S,5,30.92
CYPC,British Columbia,1,20,L,2023,S,6,21.52
CYPC,British Columbia,1,21,L,2023,B,1,<5
CYPC,British Columbia,1,21,L,2023,B,2,<5
CYPC,British Columbia,1,21,L,2023,B,3,
CYPC,British Columbia,1,21,L,2023,B,4,
CYPC,British Columbia,1,21,L,2023,C,1,<5
CYPC,British Columbia,1,21,L,2023,C,2,<5
CYPC,British Columbia,1,21,L,2023,C,3,
CYPC,British Columbia,1,21,L,2023,C,4,
CYPC,British Columbia,1,21,L,2023,D,1,<5
CYPC,British Columbia,1,21,L,2023,D,2,<5
CYPC,British Columbia,1,21,L,2023,D,3,
CYPC,British Columbia,1,21,L,2023,D,4,
CYPC,British Columbia,1,21,L,2023,E,1,<5
CYPC,British Columbia,1,21,L,2023,E,2,10
CYPC,British Columbia,1,21,L,2023,E,3,
CYPC,British Columbia,1,21,L,2023,E,4,14.94
CYPC,British Columbia,1,21,L,2023,S,1,<5
CYPC,British Columbia,1,21,L,2023,S,2,15
CYPC,British Columbia,1,21,L,2023,S,5,
CYPC,British Columbia,1,21,L,2023,S,6,6.25
CYPC,British Columbia,1,22,L,2023,B,1,<5
CYPC,British Columbia,1,22,L,2023,B,2,<5
CYPC,British Columbia,1,22,L,2023,B,3,
CYPC,British Columbia,1,22,L,2023,B,4,
CYPC,British Columbia,1,22,L,2023,C,1,<5
CYPC,British Columbia,1,22,L,2023,C,2,<5
CYPC,British Columbia,1,22,L,2023,C,3,
CYPC,British Columbia,1,22,L,2023,C,4,
